Title:,Trace 1
Model:,N9320B
47,5000000.000000Hz,-2.714009476e+01dBm
48,5108695.652174Hz,-9.393622589e+01dBm
49,5217391.304348Hz,-9.698184967e+01dBm
50,5326086.956522Hz,-9.846817017e+01dBm
51,5434782.608696Hz,-9.888668060e+01dBm
52,5543478.260870Hz,-9.874616241e+01dBm
53,5652173.913043Hz,-6.544150543e+01dBm
54,5760869.565217Hz,-9.977848053e+01dBm
55,5869565.217391Hz,-9.924089050e+01dBm
56,5978260.869565Hz,-8.605667877e+01dBm
57,6086956.521739Hz,-9.937724304e+01dBm
58,6195652.173913Hz,-9.831393433e+01dBm
59,6304347.826087Hz,-6.558573914e+01dBm
60,6413043.478261Hz,-9.794452667e+01dBm
61,6521739.130435Hz,-9.816277313e+01dBm
62,6630434.782609Hz,-9.691205597e+01dBm
63,6739130.434783Hz,-9.424472809e+01dBm
64,6847826.086957Hz,-9.474009705e+01dBm
65,6956521.739130Hz,-3.025602722e+01dBm
66,7065217.391304Hz,-9.587934113e+01dBm
67,7173913.043478Hz,-9.628409576e+01dBm
68,7282608.695652Hz,-9.912683105e+01dBm
69,7391304.347826Hz,-9.537864685e+01dBm
70,7500000.000000Hz,-9.770740509e+01dBm
71,7608695.652174Hz,-6.575579834e+01dBm
72,7717391.304348Hz,-9.891206360e+01dBm
73,7826086.956522Hz,-9.825154114e+01dBm
74,7934782.608696Hz,-8.582419586e+01dBm
75,8043478.260870Hz,-9.923690796e+01dBm
76,8152173.913043Hz,-9.781796265e+01dBm
77,8260869.565217Hz,-6.581098175e+01dBm
78,8369565.217391Hz,-9.816115570e+01dBm
79,8478260.869565Hz,-9.840764618e+01dBm
80,8586956.521739Hz,-9.781562042e+01dBm
81,8695652.173913Hz,-9.621695709e+01dBm
82,8804347.826087Hz,-9.437681580e+01dBm
83,8913043.478261Hz,-3.273073959e+01dBm
84,9021739.130435Hz,-9.122879028e+01dBm
85,9130434.782609Hz,-9.667641449e+01dBm
86,9239130.434783Hz,-9.544349670e+01dBm
87,9347826.086957Hz,-9.836538696e+01dBm
88,9456521.739130Hz,-9.865143585e+01dBm
89,9565217.391304Hz,-6.604563904e+01dBm
90,9673913.043478Hz,-9.777861786e+01dBm
91,9782608.695652Hz,-9.930912781e+01dBm
92,9891304.347826Hz,-8.736766815e+01dBm
93,10000000.000000Hz,-8.462453461e+01dBm
94,10108695.652174Hz,-9.836263275e+01dBm
95,10217391.304348Hz,-9.880821991e+01dBm
96,10326086.956522Hz,-6.604159546e+01dBm
97,10434782.608696Hz,-9.756017303e+01dBm
98,10543478.260870Hz,-9.841239166e+01dBm
99,10652173.913043Hz,-9.719151306e+01dBm
100,10760869.565217Hz,-9.855690002e+01dBm
101,10869565.217391Hz,-9.590866089e+01dBm
102,10978260.869565Hz,-3.486124039e+01dBm
103,11086956.521739Hz,-9.712533569e+01dBm
104,11195652.173913Hz,-9.826170349e+01dBm
105,11304347.826087Hz,-9.816629028e+01dBm
106,11413043.478261Hz,-9.657706451e+01dBm
107,11521739.130435Hz,-9.915985107e+01dBm
108,11630434.782609Hz,-6.642391968e+01dBm
109,11739130.434783Hz,-9.766443634e+01dBm
110,11847826.086957Hz,-9.908936310e+01dBm
111,11956521.739130Hz,-8.814004517e+01dBm
112,12065217.391304Hz,-9.780751038e+01dBm
113,12173913.043478Hz,-9.790483856e+01dBm
114,12282608.695652Hz,-6.669891357e+01dBm
115,12391304.347826Hz,-9.860673523e+01dBm
116,12500000.000000Hz,-9.776265717e+01dBm
117,12608695.652174Hz,-9.736016083e+01dBm
118,12717391.304348Hz,-9.848553467e+01dBm
119,12826086.956522Hz,-9.639696503e+01dBm
120,12934782.608696Hz,-3.683700943e+01dBm
121,13043478.260870Hz,-9.852215576e+01dBm
122,13152173.913043Hz,-9.890129852e+01dBm
123,13260869.565217Hz,-9.829697418e+01dBm
124,13369565.217391Hz,-9.780754852e+01dBm
125,13478260.869565Hz,-9.713609314e+01dBm
126,13586956.521739Hz,-6.694642639e+01dBm
127,13695652.173913Hz,-1.002835236e+02dBm
128,13804347.826087Hz,-9.856464386e+01dBm
129,13913043.478261Hz,-8.843543243e+01dBm
130,14021739.130435Hz,-9.759365845e+01dBm
131,14130434.782609Hz,-9.913157654e+01dBm
132,14239130.434783Hz,-6.725686646e+01dBm
133,14347826.086957Hz,-9.908158112e+01dBm
134,14456521.739130Hz,-9.910160828e+01dBm
135,14565217.391304Hz,-9.998027039e+01dBm
136,14673913.043478Hz,-9.874784088e+01dBm
137,14782608.695652Hz,-9.866321564e+01dBm
138,14891304.347826Hz,-4.513700485e+01dBm
139,15000000.000000Hz,-3.874108124e+01dBm
140,15108695.652174Hz,-9.869797516e+01dBm
141,15217391.304348Hz,-9.785523224e+01dBm
142,15326086.956522Hz,-9.830032349e+01dBm
143,15434782.608696Hz,-9.817134094e+01dBm
144,15543478.260870Hz,-9.865052795e+01dBm
145,15652173.913043Hz,-6.763611603e+01dBm
146,15760869.565217Hz,-9.899800110e+01dBm
147,15869565.217391Hz,-9.805980682e+01dBm
148,15978260.869565Hz,-9.148439026e+01dBm
149,16086956.521739Hz,-9.861636353e+01dBm
150,16195652.173913Hz,-9.808358765e+01dBm
151,16304347.826087Hz,-6.810543060e+01dBm
152,16413043.478261Hz,-9.867359161e+01dBm
153,16521739.130435Hz,-9.870818329e+01dBm
154,16630434.782609Hz,-9.744322968e+01dBm
155,16739130.434783Hz,-9.922640991e+01dBm
156,16847826.086957Hz,-9.744688416e+01dBm
157,16956521.739130Hz,-4.067081070e+01dBm
158,17065217.391304Hz,-9.794788361e+01dBm
159,17173913.043478Hz,-9.829013824e+01dBm
160,17282608.695652Hz,-9.762108612e+01dBm
161,17391304.347826Hz,-9.822106934e+01dBm
162,17500000.000000Hz,-9.846559906e+01dBm
163,17608695.652174Hz,-6.855412292e+01dBm
164,17717391.304348Hz,-9.900873566e+01dBm
165,17826086.956522Hz,-9.771717072e+01dBm
166,17934782.608696Hz,-9.511260223e+01dBm
167,18043478.260870Hz,-9.901132202e+01dBm
168,18152173.913043Hz,-9.754418182e+01dBm
169,18260869.565217Hz,-6.895000458e+01dBm
170,18369565.217391Hz,-9.979589844e+01dBm
171,18478260.869565Hz,-9.641684723e+01dBm
172,18586956.521739Hz,-9.771520233e+01dBm
173,18695652.173913Hz,-9.836442566e+01dBm
174,18804347.826087Hz,-9.746318054e+01dBm
175,18913043.478261Hz,-4.263702393e+01dBm
176,19021739.130435Hz,-9.749814606e+01dBm
177,19130434.782609Hz,-9.729791260e+01dBm
178,19239130.434783Hz,-9.937707520e+01dBm
179,19347826.086957Hz,-9.845006561e+01dBm
180,19456521.739130Hz,-9.844271851e+01dBm
181,19565217.391304Hz,-6.957309723e+01dBm
182,19673913.043478Hz,-9.879599762e+01dBm
183,19782608.695652Hz,-9.766256714e+01dBm
184,19891304.347826Hz,-9.692872620e+01dBm
185,20000000.000000Hz,-9.160508728e+01dBm
186,20108695.652174Hz,-9.959057617e+01dBm
187,20217391.304348Hz,-9.827983856e+01dBm
188,20326086.956522Hz,-7.014048767e+01dBm
189,20434782.608696Hz,-9.889955139e+01dBm
190,20543478.260870Hz,-9.891843414e+01dBm
191,20652173.913043Hz,-9.795459747e+01dBm
192,20760869.565217Hz,-9.875385284e+01dBm
193,20869565.217391Hz,-9.859252167e+01dBm
194,20978260.869565Hz,-4.470291901e+01dBm
195,21086956.521739Hz,-9.812223053e+01dBm
196,21195652.173913Hz,-9.929425812e+01dBm
197,21304347.826087Hz,-9.759151459e+01dBm
198,21413043.478261Hz,-9.776016235e+01dBm
199,21521739.130435Hz,-9.803872681e+01dBm
200,21630434.782609Hz,-7.070588684e+01dBm
201,21739130.434783Hz,-9.932924652e+01dBm
202,21847826.086957Hz,-9.986223602e+01dBm
203,21956521.739130Hz,-9.812284088e+01dBm
204,22065217.391304Hz,-9.685326385e+01dBm
205,22173913.043478Hz,-9.835627747e+01dBm
206,22282608.695652Hz,-7.150111389e+01dBm
207,22391304.347826Hz,-9.917961121e+01dBm
208,22500000.000000Hz,-9.776319122e+01dBm
209,22608695.652174Hz,-9.946173859e+01dBm
210,22717391.304348Hz,-9.764242554e+01dBm
211,22826086.956522Hz,-9.760382843e+01dBm
212,22934782.608696Hz,-4.682968140e+01dBm
213,23043478.260870Hz,-9.914854431e+01dBm
214,23152173.913043Hz,-9.836241913e+01dBm
215,23260869.565217Hz,-9.897015381e+01dBm
216,23369565.217391Hz,-9.780292511e+01dBm
217,23478260.869565Hz,-9.939358521e+01dBm
218,23586956.521739Hz,-7.222577667e+01dBm
219,23695652.173913Hz,-9.956375122e+01dBm
220,23804347.826087Hz,-9.904499817e+01dBm
221,23913043.478261Hz,-9.734008026e+01dBm
222,24021739.130435Hz,-9.953559875e+01dBm
223,24130434.782609Hz,-9.889208984e+01dBm
224,24239130.434783Hz,-7.268117523e+01dBm
225,24347826.086957Hz,-9.771831512e+01dBm
226,24456521.739130Hz,-9.757122040e+01dBm
227,24565217.391304Hz,-9.749483490e+01dBm
228,24673913.043478Hz,-9.839942169e+01dBm
229,24782608.695652Hz,-9.997237396e+01dBm
230,24891304.347826Hz,-6.620526886e+01dBm
231,25000000.000000Hz,-4.904697037e+01dBm
232,25108695.652174Hz,-9.937628174e+01dBm
233,25217391.304348Hz,-9.651535034e+01dBm
234,25326086.956522Hz,-9.908759308e+01dBm
235,25434782.608696Hz,-9.931237030e+01dBm
236,25543478.260870Hz,-9.944133759e+01dBm
237,25652173.913043Hz,-7.374354553e+01dBm
238,25760869.565217Hz,-9.941969299e+01dBm
239,25869565.217391Hz,-9.712537384e+01dBm
240,25978260.869565Hz,-9.841497803e+01dBm
241,26086956.521739Hz,-9.814560699e+01dBm
242,26195652.173913Hz,-9.837051392e+01dBm
243,26304347.826087Hz,-7.411033630e+01dBm
244,26413043.478261Hz,-9.872208405e+01dBm
245,26521739.130435Hz,-9.928278351e+01dBm
246,26630434.782609Hz,-9.785350037e+01dBm
247,26739130.434783Hz,-9.806201935e+01dBm
248,26847826.086957Hz,-9.851096344e+01dBm
249,26956521.739130Hz,-5.132144165e+01dBm
250,27065217.391304Hz,-9.923291779e+01dBm
251,27173913.043478Hz,-9.883921051e+01dBm
252,27282608.695652Hz,-9.811357117e+01dBm
253,27391304.347826Hz,-9.932114410e+01dBm
254,27500000.000000Hz,-9.972955322e+01dBm
255,27608695.652174Hz,-7.537490082e+01dBm
256,27717391.304348Hz,-9.827806091e+01dBm
257,27826086.956522Hz,-9.730406189e+01dBm
258,27934782.608696Hz,-9.900448608e+01dBm
259,28043478.260870Hz,-9.813783264e+01dBm
260,28152173.913043Hz,-9.724336243e+01dBm
261,28260869.565217Hz,-7.600589752e+01dBm
262,28369565.217391Hz,-9.951021576e+01dBm
263,28478260.869565Hz,-9.868317413e+01dBm
264,28586956.521739Hz,-9.848348236e+01dBm
265,28695652.173913Hz,-9.679829407e+01dBm
266,28804347.826087Hz,-9.867375183e+01dBm
267,28913043.478261Hz,-5.378659058e+01dBm
268,29021739.130435Hz,-9.906274414e+01dBm
269,29130434.782609Hz,-9.876483154e+01dBm
270,29239130.434783Hz,-9.777593994e+01dBm
271,29347826.086957Hz,-9.929662323e+01dBm
272,29456521.739130Hz,-9.786037445e+01dBm
273,29565217.391304Hz,-7.762953949e+01dBm
274,29673913.043478Hz,-9.834572601e+01dBm
275,29782608.695652Hz,-9.932313538e+01dBm
276,29891304.347826Hz,-9.867242432e+01dBm
277,30000000.000000Hz,-9.793610382e+01dBm
278,30108695.652174Hz,-9.896624756e+01dBm
279,30217391.304348Hz,-9.994377136e+01dBm
280,30326086.956522Hz,-7.861918640e+01dBm
281,30434782.608696Hz,-9.890812683e+01dBm
282,30543478.260870Hz,-9.904321289e+01dBm
283,30652173.913043Hz,-9.896670532e+01dBm
284,30760869.565217Hz,-9.921241760e+01dBm
285,30869565.217391Hz,-9.870000458e+01dBm
286,30978260.869565Hz,-5.656246185e+01dBm
287,31086956.521739Hz,-9.752943420e+01dBm
288,31195652.173913Hz,-9.864181519e+01dBm
289,31304347.826087Hz,-9.852210999e+01dBm
290,31413043.478261Hz,-9.921591949e+01dBm
291,31521739.130435Hz,-9.967583466e+01dBm
292,31630434.782609Hz,-7.940696716e+01dBm
293,31739130.434783Hz,-9.954580688e+01dBm
294,31847826.086957Hz,-9.950833130e+01dBm
295,31956521.739130Hz,-9.954458618e+01dBm
296,32065217.391304Hz,-9.724619293e+01dBm
297,32173913.043478Hz,-9.906835175e+01dBm
298,32282608.695652Hz,-8.108253479e+01dBm
299,32391304.347826Hz,-9.872451782e+01dBm
300,32500000.000000Hz,-9.864302063e+01dBm
301,32608695.652174Hz,-9.920364380e+01dBm
302,32717391.304348Hz,-9.946143341e+01dBm
303,32826086.956522Hz,-9.897489166e+01dBm
304,32934782.608696Hz,-5.981771088e+01dBm
305,33043478.260870Hz,-9.908484650e+01dBm
306,33152173.913043Hz,-9.814428711e+01dBm
307,33260869.565217Hz,-9.983942413e+01dBm
308,33369565.217391Hz,-9.814054871e+01dBm
309,33478260.869565Hz,-9.910021210e+01dBm
310,33586956.521739Hz,-8.276752472e+01dBm
311,33695652.173913Hz,-9.624482727e+01dBm
312,33804347.826087Hz,-9.892861176e+01dBm
313,33913043.478261Hz,-9.932887268e+01dBm
314,34021739.130435Hz,-9.899699402e+01dBm
315,34130434.782609Hz,-9.909239197e+01dBm
316,34239130.434783Hz,-8.411156464e+01dBm
317,34347826.086957Hz,-9.940608215e+01dBm
318,34456521.739130Hz,-9.833937073e+01dBm
319,34565217.391304Hz,-9.846672058e+01dBm
320,34673913.043478Hz,-9.786587524e+01dBm
321,34782608.695652Hz,-9.924744415e+01dBm
322,34891304.347826Hz,-9.663304138e+01dBm
323,35000000.000000Hz,-6.354853058e+01dBm
324,35108695.652174Hz,-9.955271912e+01dBm
325,35217391.304348Hz,-9.890071106e+01dBm
326,35326086.956522Hz,-9.818437195e+01dBm
327,35434782.608696Hz,-1.004855728e+02dBm
328,35543478.260870Hz,-9.894505310e+01dBm
329,35652173.913043Hz,-8.637182617e+01dBm
330,35760869.565217Hz,-9.834386444e+01dBm
331,35869565.217391Hz,-9.925241089e+01dBm
332,35978260.869565Hz,-9.748809814e+01dBm
333,36086956.521739Hz,-9.920092773e+01dBm
334,36195652.173913Hz,-9.934453583e+01dBm
335,36304347.826087Hz,-8.697340393e+01dBm
336,36413043.478261Hz,-9.915014648e+01dBm
337,36521739.130435Hz,-9.881372070e+01dBm
338,36630434.782609Hz,-9.788315582e+01dBm
339,36739130.434783Hz,-9.887629700e+01dBm
340,36847826.086957Hz,-9.832215118e+01dBm
341,36956521.739130Hz,-6.768768311e+01dBm
342,37065217.391304Hz,-1.003088303e+02dBm
343,37173913.043478Hz,-9.937944031e+01dBm
344,37282608.695652Hz,-9.987234497e+01dBm
345,37391304.347826Hz,-9.845529175e+01dBm
346,37500000.000000Hz,-9.878947449e+01dBm
347,37608695.652174Hz,-8.976457214e+01dBm
348,37717391.304348Hz,-9.884729767e+01dBm
349,37826086.956522Hz,-9.952154541e+01dBm
350,37934782.608696Hz,-9.735813141e+01dBm
351,38043478.260870Hz,-9.859037018e+01dBm
352,38152173.913043Hz,-9.962563324e+01dBm
353,38260869.565217Hz,-9.122198486e+01dBm
354,38369565.217391Hz,-9.841393280e+01dBm
355,38478260.869565Hz,-9.980118561e+01dBm
356,38586956.521739Hz,-9.896819305e+01dBm
357,38695652.173913Hz,-9.737842560e+01dBm
358,38804347.826087Hz,-9.897973633e+01dBm
359,38913043.478261Hz,-7.207862091e+01dBm
360,39021739.130435Hz,-9.957354736e+01dBm
361,39130434.782609Hz,-9.875666046e+01dBm
362,39239130.434783Hz,-9.945697784e+01dBm
363,39347826.086957Hz,-9.884890747e+01dBm
364,39456521.739130Hz,-9.842706299e+01dBm
365,39565217.391304Hz,-9.356121826e+01dBm
366,39673913.043478Hz,-9.839439392e+01dBm
367,39782608.695652Hz,-9.974137878e+01dBm
368,39891304.347826Hz,-9.816555023e+01dBm
369,40000000.000000Hz,-9.849239349e+01dBm
370,40108695.652174Hz,-9.962451935e+01dBm
371,40217391.304348Hz,-9.967803192e+01dBm
372,40326086.956522Hz,-9.568510437e+01dBm
373,40434782.608696Hz,-9.811374664e+01dBm
374,40543478.260870Hz,-9.878630829e+01dBm
375,40652173.913043Hz,-9.965975189e+01dBm
376,40760869.565217Hz,-9.863287354e+01dBm
377,40869565.217391Hz,-9.829367065e+01dBm
378,40978260.869565Hz,-7.681336975e+01dBm
379,41086956.521739Hz,-9.726375580e+01dBm
380,41195652.173913Hz,-9.781680298e+01dBm
381,41304347.826087Hz,-9.966621399e+01dBm
382,41413043.478261Hz,-9.803774261e+01dBm
383,41521739.130435Hz,-9.916291809e+01dBm
384,41630434.782609Hz,-9.897074127e+01dBm
385,41739130.434783Hz,-9.866700745e+01dBm
386,41847826.086957Hz,-9.804588318e+01dBm
387,41956521.739130Hz,-9.797195435e+01dBm
388,42065217.391304Hz,-9.937323761e+01dBm
389,42173913.043478Hz,-9.879937744e+01dBm
390,42282608.695652Hz,-1.000364990e+02dBm
391,42391304.347826Hz,-9.873695374e+01dBm
392,42500000.000000Hz,-9.799141693e+01dBm
393,42608695.652174Hz,-9.899401855e+01dBm
394,42717391.304348Hz,-9.933699799e+01dBm
395,42826086.956522Hz,-9.796604156e+01dBm
396,42934782.608696Hz,-8.143345642e+01dBm
397,43043478.260870Hz,-9.800592804e+01dBm
398,43152173.913043Hz,-9.924369812e+01dBm
399,43260869.565217Hz,-9.873511505e+01dBm
400,43369565.217391Hz,-9.839592743e+01dBm
401,43478260.869565Hz,-9.970890808e+01dBm
402,43586956.521739Hz,-9.835776520e+01dBm
403,43695652.173913Hz,-9.892843628e+01dBm
404,43804347.826087Hz,-9.857794189e+01dBm
405,43913043.478261Hz,-9.669279480e+01dBm
406,44021739.130435Hz,-9.768372345e+01dBm
407,44130434.782609Hz,-9.799311829e+01dBm
408,44239130.434783Hz,-9.847653961e+01dBm
409,44347826.086957Hz,-9.900874329e+01dBm
410,44456521.739130Hz,-9.929929352e+01dBm
411,44565217.391304Hz,-9.697743988e+01dBm
412,44673913.043478Hz,-9.885716248e+01dBm
413,44782608.695652Hz,-9.852469635e+01dBm
414,44891304.347826Hz,-9.858559418e+01dBm
415,45000000.000000Hz,-8.580337524e+01dBm
416,45108695.652174Hz,-9.846013641e+01dBm
417,45217391.304348Hz,-9.785254669e+01dBm
418,45326086.956522Hz,-9.838959503e+01dBm
419,45434782.608696Hz,-1.002064896e+02dBm
420,45543478.260870Hz,-1.001253510e+02dBm
421,45652173.913043Hz,-9.745938873e+01dBm
422,45760869.565217Hz,-9.813072968e+01dBm
423,45869565.217391Hz,-9.744561005e+01dBm
424,45978260.869565Hz,-9.826278687e+01dBm
425,46086956.521739Hz,-9.847317505e+01dBm
426,46195652.173913Hz,-9.792407227e+01dBm
427,46304347.826087Hz,-9.769122314e+01dBm
428,46413043.478261Hz,-9.858687592e+01dBm
429,46521739.130435Hz,-9.685621643e+01dBm
430,46630434.782609Hz,-9.675401306e+01dBm
431,46739130.434783Hz,-9.957923889e+01dBm
432,46847826.086957Hz,-9.927069092e+01dBm
433,46956521.739130Hz,-9.030324554e+01dBm
434,47065217.391304Hz,-9.878186798e+01dBm
435,47173913.043478Hz,-9.878388977e+01dBm
436,47282608.695652Hz,-9.824493408e+01dBm
437,47391304.347826Hz,-9.896022797e+01dBm
438,47500000.000000Hz,-9.805219269e+01dBm
439,47608695.652174Hz,-9.806241608e+01dBm
440,47717391.304348Hz,-9.898332977e+01dBm
441,47826086.956522Hz,-9.817003632e+01dBm
442,47934782.608696Hz,-9.168988037e+01dBm
443,48043478.260870Hz,-9.818466187e+01dBm
444,48152173.913043Hz,-9.716116333e+01dBm
445,48260869.565217Hz,-9.745908356e+01dBm
446,48369565.217391Hz,-9.784577179e+01dBm
447,48478260.869565Hz,-9.798546600e+01dBm
448,48586956.521739Hz,-9.919760132e+01dBm
449,48695652.173913Hz,-9.887371063e+01dBm
450,48804347.826087Hz,-9.931127930e+01dBm
451,48913043.478261Hz,-9.539852905e+01dBm
452,49021739.130435Hz,-9.862519836e+01dBm
453,49130434.782609Hz,-9.898046112e+01dBm
454,49239130.434783Hz,-9.956472778e+01dBm
455,49347826.086957Hz,-9.833807373e+01dBm
456,49456521.739130Hz,-9.945479584e+01dBm
457,49565217.391304Hz,-9.942787933e+01dBm
458,49673913.043478Hz,-9.789165497e+01dBm
459,49782608.695652Hz,-9.752462006e+01dBm
460,49891304.347826Hz,-9.801632690e+01dBm
461,50000000.000000Hz,-9.911119843e+01dBm
